rater_id,group_id,scenario_id,turn,metric_id,number_id,score
rater_01,Group A,L1_frustrated_multi,0,emotional_coherence,6,3
rater_01,Group A,L5_neutral_multi,0,emotional_coherence,6,4
rater_01,Group A,L10_angry_multi,0,emotional_coherence,6,3
rater_02,Group B,L10_neutral_multi,0,emotional_coherence,6,4
rater_03,Group B,L10_neutral_multi,0,emotional_coherence,6,4
rater_03,Group B,L1_neutral_multi,0,emotional_coherence,6,4
rater_03,Group B,L5_angry_multi,0,emotional_coherence,6,4
rater_04,Group C,L5_frustrated_multi,0,emotional_coherence,6,4
rater_04,Group C,L1_angry_multi,0,emotional_coherence,6,4
rater_04,Group C,L10_frustrated_multi,0,emotional_coherence,6,5
rater_05,Group C,L5_frustrated_multi,0,emotional_coherence,6,5
rater_05,Group C,L1_angry_multi,0,emotional_coherence,6,4
rater_05,Group C,L10_frustrated_multi,0,emotional_coherence,6,5
rater_06,Group A,L1_frustrated_multi,0,emotional_coherence,6,3
rater_06,Group A,L5_neutral_multi,0,emotional_coherence,6,4
rater_06,Group A,L10_angry_multi,0,emotional_coherence,6,1
rater_07,Group A,L1_frustrated_multi,0,emotional_coherence,6,4
rater_07,Group A,L5_neutral_multi,0,emotional_coherence,6,5
rater_07,Group A,L10_angry_multi,0,emotional_coherence,6,4
rater_02,Group B,L1_neutral_multi,0,emotional_coherence,6,4
rater_08,Group C,L5_frustrated_multi,0,emotional_coherence,6,4
rater_02,Group B,L5_angry_multi,0,emotional_coherence,6,4
rater_08,Group C,L1_angry_multi,0,emotional_coherence,6,2
rater_08,Group C,L10_frustrated_multi,0,emotional_coherence,6,4
rater_09,Group B,L10_neutral_multi,0,emotional_coherence,6,3
rater_09,Group B,L1_neutral_multi,0,emotional_coherence,6,5
rater_09,Group B,L5_angry_multi,0,emotional_coherence,6,2
rater_01,Group A,L1_frustrated_multi,0,emotional_adaptivity,7,2
rater_01,Group A,L5_neutral_multi,0,emotional_adaptivity,7,2
rater_01,Group A,L10_angry_multi,0,emotional_adaptivity,7,2
rater_02,Group B,L10_neutral_multi,0,emotional_adaptivity,7,3
rater_03,Group B,L10_neutral_multi,0,emotional_adaptivity,7,4
rater_03,Group B,L1_neutral_multi,0,emotional_adaptivity,7,4
rater_03,Group B,L5_angry_multi,0,emotional_adaptivity,7,3
rater_04,Group C,L5_frustrated_multi,0,emotional_adaptivity,7,4
rater_04,Group C,L1_angry_multi,0,emotional_adaptivity,7,4
rater_04,Group C,L10_frustrated_multi,0,emotional_adaptivity,7,5
rater_05,Group C,L5_frustrated_multi,0,emotional_adaptivity,7,5
rater_05,Group C,L1_angry_multi,0,emotional_adaptivity,7,5
rater_05,Group C,L10_frustrated_multi,0,emotional_adaptivity,7,5
rater_06,Group A,L1_frustrated_multi,0,emotional_adaptivity,7,3
rater_06,Group A,L5_neutral_multi,0,emotional_adaptivity,7,4
rater_06,Group A,L10_angry_multi,0,emotional_adaptivity,7,2
rater_07,Group A,L1_frustrated_multi,0,emotional_adaptivity,7,4
rater_07,Group A,L5_neutral_multi,0,emotional_adaptivity,7,5
rater_07,Group A,L10_angry_multi,0,emotional_adaptivity,7,3
rater_02,Group B,L1_neutral_multi,0,emotional_adaptivity,7,4
rater_08,Group C,L5_frustrated_multi,0,emotional_adaptivity,7,4
rater_02,Group B,L5_angry_multi,0,emotional_adaptivity,7,2
rater_08,Group C,L1_angry_multi,0,emotional_adaptivity,7,3
rater_08,Group C,L10_frustrated_multi,0,emotional_adaptivity,7,3
rater_09,Group B,L10_neutral_multi,0,emotional_adaptivity,7,4
rater_09,Group B,L1_neutral_multi,0,emotional_adaptivity,7,4
rater_09,Group B,L5_angry_multi,0,emotional_adaptivity,7,4
rater_01,Group A,L1_frustrated_multi,0,problem_resolution,8,4
rater_01,Group A,L5_neutral_multi,0,problem_resolution,8,5
rater_01,Group A,L10_angry_multi,0,problem_resolution,8,2
rater_02,Group B,L10_neutral_multi,0,problem_resolution,8,4
rater_03,Group B,L10_neutral_multi,0,problem_resolution,8,5
rater_03,Group B,L1_neutral_multi,0,problem_resolution,8,4
rater_03,Group B,L5_angry_multi,0,problem_resolution,8,4
rater_04,Group C,L5_frustrated_multi,0,problem_resolution,8,5
rater_04,Group C,L1_angry_multi,0,problem_resolution,8,4
rater_04,Group C,L10_frustrated_multi,0,problem_resolution,8,5
rater_05,Group C,L5_frustrated_multi,0,problem_resolution,8,4
rater_05,Group C,L1_angry_multi,0,problem_resolution,8,5
rater_05,Group C,L10_frustrated_multi,0,problem_resolution,8,5
rater_06,Group A,L1_frustrated_multi,0,problem_resolution,8,4
rater_06,Group A,L5_neutral_multi,0,problem_resolution,8,4
rater_06,Group A,L10_angry_multi,0,problem_resolution,8,1
rater_07,Group A,L1_frustrated_multi,0,problem_resolution,8,4
rater_07,Group A,L5_neutral_multi,0,problem_resolution,8,5
rater_07,Group A,L10_angry_multi,0,problem_resolution,8,3
rater_02,Group B,L1_neutral_multi,0,problem_resolution,8,5
rater_08,Group C,L5_frustrated_multi,0,problem_resolution,8,5
rater_02,Group B,L5_angry_multi,0,problem_resolution,8,2
rater_08,Group C,L1_angry_multi,0,problem_resolution,8,3
rater_08,Group C,L10_frustrated_multi,0,problem_resolution,8,4
rater_09,Group B,L10_neutral_multi,0,problem_resolution,8,3
rater_09,Group B,L1_neutral_multi,0,problem_resolution,8,4
rater_09,Group B,L5_angry_multi,0,problem_resolution,8,2
