rater_id,group_id,scenario_id,turn,metric_id,number_id,score
rater_01,Group A,L1_frustrated_multi,1,tone_appropriateness,1,4
rater_01,Group A,L5_neutral_multi,1,tone_appropriateness,1,4
rater_01,Group A,L10_angry_multi,1,tone_appropriateness,1,4
rater_02,Group B,L10_neutral_multi,1,tone_appropriateness,1,3
rater_03,Group B,L10_neutral_multi,1,tone_appropriateness,1,4
rater_03,Group B,L1_neutral_multi,1,tone_appropriateness,1,5
rater_03,Group B,L5_angry_multi,1,tone_appropriateness,1,5
rater_04,Group C,L5_frustrated_multi,1,tone_appropriateness,1,4
rater_04,Group C,L1_angry_multi,1,tone_appropriateness,1,3
rater_04,Group C,L10_frustrated_multi,1,tone_appropriateness,1,4
rater_05,Group C,L5_frustrated_multi,1,tone_appropriateness,1,4
rater_05,Group C,L1_angry_multi,1,tone_appropriateness,1,4
rater_05,Group C,L10_frustrated_multi,1,tone_appropriateness,1,5
rater_06,Group A,L1_frustrated_multi,1,tone_appropriateness,1,2
rater_06,Group A,L5_neutral_multi,1,tone_appropriateness,1,4
rater_06,Group A,L10_angry_multi,1,tone_appropriateness,1,5
rater_07,Group A,L1_frustrated_multi,1,tone_appropriateness,1,4
rater_07,Group A,L5_neutral_multi,1,tone_appropriateness,1,5
rater_07,Group A,L10_angry_multi,1,tone_appropriateness,1,3
rater_02,Group B,L1_neutral_multi,1,tone_appropriateness,1,3
rater_08,Group C,L5_frustrated_multi,1,tone_appropriateness,1,4
rater_02,Group B,L5_angry_multi,1,tone_appropriateness,1,4
rater_08,Group C,L1_angry_multi,1,tone_appropriateness,1,4
rater_08,Group C,L10_frustrated_multi,1,tone_appropriateness,1,4
rater_09,Group B,L10_neutral_multi,1,tone_appropriateness,1,4
rater_09,Group B,L1_neutral_multi,1,tone_appropriateness,1,5
rater_09,Group B,L5_angry_multi,1,tone_appropriateness,1,4
rater_01,Group A,L1_frustrated_multi,1,emotional_calibration,2,4
rater_01,Group A,L5_neutral_multi,1,emotional_calibration,2,4
rater_01,Group A,L10_angry_multi,1,emotional_calibration,2,4
rater_02,Group B,L10_neutral_multi,1,emotional_calibration,2,3
rater_03,Group B,L10_neutral_multi,1,emotional_calibration,2,5
rater_03,Group B,L1_neutral_multi,1,emotional_calibration,2,5
rater_03,Group B,L5_angry_multi,1,emotional_calibration,2,5
