scenario_id,judge_model,group_id,turn,metric_id,number_id,score
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,0,emotional_adaptivity,7,5
L10_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,0,emotional_adaptivity,7,4
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,0,emotional_adaptivity,7,4
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,0,emotional_adaptivity,7,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,0,emotional_adaptivity,7,4
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,0,emotional_adaptivity,7,4
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,0,emotional_adaptivity,7,4
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,0,emotional_adaptivity,7,4
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,0,emotional_adaptivity,7,4
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,0,emotional_coherence,6,5
L10_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,0,emotional_coherence,6,5
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,0,emotional_coherence,6,5
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,0,emotional_coherence,6,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,0,emotional_coherence,6,4
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,0,emotional_coherence,6,4
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,0,emotional_coherence,6,5
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,0,emotional_coherence,6,5
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,0,emotional_coherence,6,4
L10_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,0,problem_resolution,8,4
L10_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,0,problem_resolution,8,4
L10_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,0,problem_resolution,8,4
L1_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,0,problem_resolution,8,5
L1_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,0,problem_resolution,8,4
L1_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,0,problem_resolution,8,5
L5_angry_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group B,0,problem_resolution,8,4
L5_frustrated_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group C,0,problem_resolution,8,4
L5_neutral_multi,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Group A,0,problem_resolution,8,5
